date,ticker,action,shares,price,cost,proceeds
2010-05-31,AAPL,buy,0.0003652748207647108,136.8832373808956,5e-05,
2010-05-31,QQQ,buy,0.000479420933407686,104.2924839443367,5e-05,
2010-05-31,SPY,buy,0.0005568841680258295,89.78527828731683,5e-05,
2010-05-31,IWM,buy,0.0006553185380218676,76.29877242741992,5e-05,
2010-05-31,DIA,buy,0.000609660090814811,82.01291302039301,5e-05,
2010-06-30,AAPL,buy,6.785939910081552e-05,114.17450971330135,7.747813621774855e-06,
2010-06-30,QQQ,buy,3.574650762727406e-05,95.99381337813193,3.4314435820925157e-06,
2010-06-30,IWM,sell,2.347502132366236e-05,78.26761830464504,,0.0018354966746451549
2010-06-30,SPY,sell,8.016931690658555e-06,90.09990744465,,0.0007216024785150989
2010-06-30,DIA,sell,8.0642743695811e-06,82.20284423753469,,0.000662243383601527
2010-08-31,IWM,sell,7.40775657242348e-05,87.95128610991928,,0.006508701960161185
2010-08-31,QQQ,buy,5.508514015795964e-05,86.02544618712894,4.738723760369012e-06,
2010-08-31,DIA,sell,5.141424679239669e-05,89.16371511215391,,0.004579700968449528
2010-08-31,AAPL,buy,9.417106110694762e-05,93.03193900507074,8.76091641294434e-06,
2010-08-31,SPY,buy,4.262647509364762e-05,82.93618645240052,3.5352772861753657e-06,
2010-09-30,DIA,buy,1.3632604360716387e-05,87.3233913138575,1.1904452452178372e-06,
2010-09-30,IWM,buy,6.430573854240666e-05,79.14548527993792,5.089508883223582e-06,
2010-09-30,SPY,sell,4.89193717391344e-05,90.74178807247529,,0.004434592231728179
2010-09-30,QQQ,sell,1.8527273275414078e-05,89.23673617858775,,0.0016516600839893386
2010-09-30,AAPL,sell,2.9185918800294676e-05,98.84009633953221,,0.002881854286952911
2010-11-30,DIA,sell,3.8932545013896304e-05,95.63268365806849,,0.0037195005375561395
2010-11-30,AAPL,sell,5.3712237635040636e-05,112.95012166228379,,0.006060736971855707
2010-11-30,IWM,sell,7.486212269018492e-05,91.73055777367102,,0.006860277126221164
2010-11-30,SPY,buy,6.121800697539621e-05,83.13427465800393,5.08931460590819e-06,
2010-11-30,QQQ,sell,2.986391865519454e-05,96.18615175767452,,0.0028696229164355417
2010-12-31,DIA,sell,8.159168435246288e-05,112.96009345631649,,0.00920738768542277
2010-12-31,AAPL,sell,5.76364128317445e-06,114.15665680048481,,0.0006573000618645671
2010-12-31,QQQ,buy,3.821493160068002e-05,89.40580365625095,3.416636671427458e-06,
2010-12-31,SPY,buy,3.6180555107032304e-05,78.24405289182513,2.8309132674502296e-06,
2010-12-31,IWM,buy,6.654086650937664e-05,81.58702765137427,5.428871515846917e-06,
2011-01-31,DIA,sell,2.191640422037958e-05,118.64446098024611,,0.002597659705386774
2011-01-31,AAPL,buy,4.673457036005036e-05,102.99937585359633,4.81363157787117e-06,
2011-01-31,QQQ,sell,3.49723300316141e-05,95.2071160154847,,0.003326285067969052
2011-01-31,SPY,sell,4.266258032902394e-05,83.69792849802658,,0.003567198828322041
2011-01-31,IWM,buy,8.16822409677306e-05,71.88853561613523,5.872016689014442e-06,
2011-02-28,DIA,sell,3.416228995261998e-06,120.63175336227339,,0.0004116935878919069
2011-02-28,QQQ,sell,1.1967439419212269e-05,98.25634749622755,,0.0011747010093279581
2011-02-28,AAPL,sell,3.555979341881806e-05,112.0873200805375,,0.003981816144985917
2011-02-28,SPY,buy,4.0431958961720314e-05,79.05846116485472,3.1964884573941653e-06,
2011-02-28,IWM,sell,5.137960937347979e-05,78.28380308082762,,0.004018169031340774
2011-03-31,QQQ,sell,0.00011491136054505641,129.95856498132835,,0.014918781800971077
2011-03-31,DIA,sell,2.8136040187172603e-06,124.6623119185098,,0.0003503996314147073
2011-03-31,SPY,sell,0.00010779744900272386,97.65690931937515,,0.010516638536416852
2011-03-31,AAPL,buy,3.862311940449378e-05,105.95493442205853,4.092310083678475e-06,
2011-03-31,IWM,buy,2.185826528757005e-05,77.71721548514583,1.6987635134855644e-06,
2011-05-31,QQQ,buy,1.5340252192768864e-05,123.84786589857974,1.8998574964204322e-06,
2011-05-31,SPY,buy,1.3234317528024045e-05,94.29522033983073,1.2479328873523114e-06,
2011-05-31,IWM,sell,3.042048146220276e-06,77.2689260427476,,0.00023482073743554314
2011-05-31,DIA,sell,4.482392783647989e-06,124.72369738215048,,0.0005585015404945512
2011-05-31,AAPL,buy,6.017977201127711e-05,93.35986660734221,5.618375487433097e-06,
2011-06-30,QQQ,buy,5.857266284469147e-06,122.36300582098983,7.167127084615857e-07,
