date,ticker,action,shares,price,cost,proceeds
2010-05-31,AAPL,buy,0.0003652748207647108,136.8832373808956,5e-06,
2010-05-31,QQQ,buy,0.000479420933407686,104.2924839443367,5e-06,
2010-05-31,SPY,buy,0.0005568841680258295,89.78527828731683,5e-06,
2010-05-31,IWM,buy,0.0006553185380218676,76.29877242741992,5e-06,
2010-05-31,DIA,buy,0.000609660090814811,82.01291302039301,5e-06,
2010-06-30,AAPL,buy,6.795793247773365e-05,114.17450971330135,7.759063621774878e-07,
2010-06-30,QQQ,buy,3.5863702679789645e-05,95.99381337813193,3.442693582092537e-07,
2010-06-30,IWM,sell,2.333128371871532e-05,78.26761830464504,,0.0018259014002529248
2010-06-30,SPY,sell,7.892070297133469e-06,90.09990744465,,0.0007110036958380651
2010-06-30,DIA,sell,7.927417791145559e-06,82.20284423753469,,0.0006515911242624106
2010-08-31,IWM,sell,7.408704642441197e-05,87.95128610991928,,0.006515399412010619
2010-08-31,QQQ,buy,5.510520760121731e-05,86.02544618712894,4.7404500711290884e-07,
2010-08-31,DIA,sell,5.141867206254951e-05,89.16371511215391,,0.004584221359247708
2010-08-31,AAPL,buy,9.419945260733437e-05,93.03193900507074,8.763557729276584e-07,
2010-08-31,SPY,buy,4.2643989036495584e-05,82.93618645240052,3.5367298258049215e-07,
2010-09-30,DIA,buy,1.365038766069015e-05,87.3233913138575,1.1919981432802977e-07,
2010-09-30,IWM,buy,6.433721754754305e-05,79.14548527993792,5.092000304361232e-07,
2010-09-30,SPY,sell,4.891719130581764e-05,90.74178807247529,,0.004438389523232577
2010-09-30,QQQ,sell,1.851754194802022e-05,89.23673617858775,,0.001652279760990863
2010-09-30,AAPL,sell,2.9180131858169635e-05,98.84009633953221,,0.002883878627357334
2010-11-30,DIA,sell,3.893573644090287e-05,95.63268365806849,,0.0037231566131501886
2010-11-30,AAPL,sell,5.372046777020185e-05,112.95012166228379,,0.006067126597062055
2010-11-30,IWM,sell,7.487458120023535e-05,91.73055777367102,,0.0068676002678579534
2010-11-30,SPY,buy,6.124257785582415e-05,83.13427465800393,5.091357288230274e-07,
2010-11-30,QQQ,sell,2.986473528834052e-05,96.18615175767452,,0.002872286703251034
2010-12-31,DIA,sell,8.160472844357162e-05,112.96009345631649,,0.009217155943688032
2010-12-31,AAPL,sell,5.755548214750534e-06,114.15665680048481,,0.0006569684388356947
2010-12-31,QQQ,buy,3.823803078785849e-05,89.40580365625095,3.4187018728209556e-07,
2010-12-31,SPY,buy,3.6204852621233674e-05,78.24405289182513,2.8328144034365415e-07,
2010-12-31,IWM,buy,6.657308784601367e-05,81.58702765137427,5.431500358930086e-07,
2011-01-31,DIA,sell,2.1914851794677538e-05,118.64446098024611,,0.002599815771063631
2011-01-31,AAPL,buy,4.67581136761304e-05,102.99937585359633,4.816056524732938e-07,
2011-01-31,QQQ,sell,3.497271080188835e-05,95.2071160154847,,0.0033293179695979102
2011-01-31,SPY,sell,4.266388428282391e-05,83.69792849802658,,0.00357052164827826
2011-01-31,IWM,buy,8.172042273196344e-05,71.88853561613523,5.874761520132382e-07,
2011-02-28,DIA,sell,3.409795104187684e-06,120.63175336227339,,0.00041128842906805354
2011-02-28,QQQ,sell,1.1962040577080234e-05,98.25634749622755,,0.0011752288810639993
2011-02-28,AAPL,sell,3.556312403633444e-05,112.0873200805375,,0.003985776649397782
